Country,Country Code,Latitude,Longitude,Income Group,Indicator Code,Indicator Name,Indicator Year,Indicator Value,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1961,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1962,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1963,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1964,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1965,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1966,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1967,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1968,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1969,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1970,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1971,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1972,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1973,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1974,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1975,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1976,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1977,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1978,2,
Bolivia,BOL,-17.00000000,-65.00000000,Lower middle income,SP.POP.GROW,Population growth (annual %),1979,2,
